Signal Legend:

Key        Signal Name

0        = ad_in
1        = dac_out_data
2        = fsk_dm:u_fsk_dm|mix
3        = fsk_dm:u_fsk_dm|fir2_mix

Data Table:

Signals-> 0    1     2    3   

sample

395       2649 16338 149  -46 
396       2649 16338 151  -46 
397       2649 16338 154  -46 
398       2649 16338 154  -46 
399       2655 16338 154  -46 
400       2655 16338 157  -46 
401       2655 16338 159  -46 
402       2655 16338 159  -46 
403       2665 16338 159  -46 
404       2665 16338 161  -46 
405       2665 16338 163  -46 
406       2665 16338 163  -46 
407       2676 16338 162  -46 
408       2676 16338 166  -46 
409       2676 16338 169  -46 
410       2676 16338 169  -46 
411       2682 16338 172  -46 
412       2682 16338 172  -46 
413       2682 16338 175  -46 
414       2682 16338 175  -46 
415       2692 16338 178  -46 
416       2692 16338 180  -46 
417       2692 16338 180  -46 
418       2692 16338 180  -46 
419       2701 16338 180  -46 
420       2701 16338 186  -46 
421       2701 16338 186  -46 
422       2701 16338 186  -46 
423       2707 16338 186  -46 
424       2707 16338 191  -46 
425       2707 16338 191  -46 
426       2707 16338 191  -46 
427       2716 16338 191  -46 
428       2716 16338 193  -46 
429       2716 16338 195  -46 
430       2716 16338 195  -46 
431       2726 16338 195  -46 
432       2726 16338 198  -46 
433       2726 16338 201  -46 
434       2726 16338 201  -46 
435       2733 16338 201  -46 
436       2733 16338 204  -46 
437       2733 16338 207  -46 
438       2733 16338 207  -46 
439       2740 16338 203  -46 
440       2740 16338 209  -46 
441       2740 16338 212  -46 
442       2740 16338 212  -46 
443       2746 16338 215  -46 
444       2746 16338 215  -46 
445       2746 16338 217  -46 
446       2746 16338 217  -46 
447       2755 16338 220  -46 
448       2755 16338 222  -46 
449       2755 16338 222  -46 
450       2755 16338 222  -46 
451       2761 16338 222  -46 
452       2761 16338 227  -46 
453       2761 16338 227  -46 
454       2761 16338 227  -46 
455       2769 16338 227  -46 
456       2769 16338 232  -46 
457       2769 16338 232  -46 
458       2769 16338 232  -46 
459       2774 16338 232  -46 
460       2774 16338 236  -46 
461       2774 16338 238  -46 
462       2774 16338 238  -46 
463       2782 16338 238  -46 
464       2782 16338 241  -46 
465       2782 16338 242  -46 
466       2782 16338 242  -46 
467       2787 16338 242  -46 
468       2787 16338 245  -46 
469       2787 16338 248  -46 
470       2787 16338 248  -46 
471       2792 16338 248  -46 
472       2792 16338 250  -46 
473       2792 16338 251  -46 
474       2792 16338 251  -46 
475       2797 16338 255  -46 
476       2797 16338 255  -46 
477       2797 16338 256  -46 
478       2797 16338 256  -46 
479       2805 16338 259  -46 
480       2805 16338 260  -46 
481       2805 16338 260  -46 
482       2805 16338 260  -46 
483       2808 16338 260  -46 
484       2808 16338 266  -46 
485       2808 16338 266  -46 
486       2808 16338 266  -46 
487       2814 16338 266  -46 
488       2814 16338 269  -46 
489       2814 16338 269  -46 
490       2814 16338 269  -46 
491       2822 16338 269  -46 
492       2822 16338 272  -46 
493       2822 16338 274  -46 
494       2822 16338 274  -46 
495       2826 16338 274  -46 
496       2826 16338 276  -46 
497       2826 16338 279  -46 
498       2826 16338 279  -46 
499       2831 16338 279  -46 
500       2831 16338 281  -46 
501       2831 16338 282  -46 
502       2831 16338 282  -46 
503       2836 16338 282  -46 
504       2836 16338 284  -46 
505       2836 16338 286  -46 
506       2836 16338 286  -46 
507       2839 16338 289  -46 
508       2839 16338 289  -46 
509       2839 16338 291  -46 
510       2839 16338 291  -46 
511       2844 16338 292  -46 
512       2844 16338 293  -46 
513       2844 16338 293  -46 
514       2844 16338 293  -46 
515       2846 16338 293  -46 
516       2846 16338 297  -46 
517       2846 16338 297  -46 
518       2846 16338 297  -46 
519       2851 16338 297  -46 
520       2851 16338 301  -46 
521       2851 16338 301  -46 
522       2851 16338 301  -46 
523       2855 16338 301  -46 
524       2855 16338 303  -46 
525       2855 16338 305  -46 
526       2855 16338 305  -46 
527       2859 16338 305  -46 
528       2859 16338 307  -46 
529       2859 16338 308  -46 
530       2859 16338 308  -46 
531       2863 16338 308  -46 
532       2863 16338 310  -46 
533       2863 16338 312  -46 
534       2863 16338 312  -46 
535       2866 16338 313  -46 
536       2866 16338 313  -46 
537       2866 16338 314  -46 
538       2866 16338 314  -46 
539       2867 16338 316  -46 
540       2867 16338 316  -46 
541       2867 16338 317  -46 
542       2867 16338 317  -46 
543       2871 16338 318  -46 
544       2871 16338 319  -46 
545       2871 16338 319  -46 
546       2871 16338 319  -46 
547       2873 16338 319  -46 
548       2873 16338 322  -46 
549       2873 16338 322  -46 
550       2873 16338 322  -46 
551       2874 16338 322  -46 
552       2874 16338 325  -46 
553       2874 16338 325  -46 
554       2874 16338 325  -46 
555       2877 16338 325  -46 
556       2877 16338 326  -46 
557       2877 16338 327  -46 
558       2877 16338 327  -46 
559       2879 16338 327  -46 
560       2879 16338 328  -46 
561       2879 16338 329  -46 
562       2879 16338 329  -46 
563       2881 16338 329  -46 
564       2881 16338 331  -46 
565       2881 16338 331  -46 
566       2881 16338 331  -46 
567       2883 16338 330  -46 
568       2883 16338 332  -46 
569       2883 16338 333  -46 
570       2883 16338 333  -46 
571       2883 16338 334  -46 
572       2883 16338 334  -46 
573       2883 16338 335  -46 
574       2883 16338 335  -46 
575       2884 16338 336  -46 
576       2884 16338 336  -46 
577       2884 16338 336  -46 
578       2884 16338 336  -46 
579       2884 16338 336  -46 
580       2884 16338 337  -46 
581       2884 16338 337  -46 
582       2884 16338 337  -45 
583       2886 16339 337  -45 
584       2886 16339 338  -45 
585       2886 16339 338  -45 
586       2886 16339 338  -45 
587       2887 16339 338  -45 
588       2887 16339 339  -45 
589       2887 16339 340  -45 
590       2887 16339 340  -45 
591       2887 16339 340  -45 
592       2887 16339 340  -45 
593       2887 16339 341  -45 
594       2887 16339 341  -45 
595       2886 16339 341  -45 
596       2886 16339 342  -45 
597       2886 16339 342  -45 
598       2886 16339 342  -45 
599       2887 16339 342  -45 
600       2887 16339 342  -45 
601       2887 16339 341  -45 
602       2887 16339 341  -46 
603       2886 16338 342  -46 
604       2886 16338 342  -46 
605       2886 16338 342  -46 
606       2886 16338 342  -46 
607       2885 16338 342  -46 
608       2885 16338 342  -46 
609       2885 16338 342  -46 
610       2885 16338 342  -46 
611       2884 16338 342  -46 
612       2884 16338 342  -46 
613       2884 16338 342  -46 
614       2884 16338 342  -46 
615       2883 16338 342  -46 
616       2883 16338 342  -46 
617       2883 16338 342  -46 
618       2883 16338 342  -46 
619       2882 16338 342  -46 
620       2882 16338 342  -46 
621       2882 16338 342  -46 
622       2882 16338 342  -46 
623       2881 16338 342  -47 
624       2881 16337 341  -47 
625       2881 16337 341  -47 
626       2881 16337 341  -47 
627       2879 16337 341  -47 
628       2879 16337 341  -47 
629       2879 16337 341  -47 
630       2879 16337 341  -47 
631       2878 16337 340  -47 
632       2878 16337 340  -47 
633       2878 16337 340  -48 
634       2878 16336 340  -48 
635       2875 16336 339  -48 
636       2875 16336 339  -48 
637       2875 16336 339  -48 
638       2875 16336 339  -48 
639       2872 16336 338  -48 
640       2872 16336 337  -48 
641       2872 16336 337  -48 
642       2872 16336 337  -48 
643       2871 16336 337  -49 
644       2871 16335 335  -49 
645       2871 16335 335  -49 
646       2871 16335 335  -49 
647       2867 16335 335  -49 
648       2867 16335 335  -49 
649       2867 16335 335  -49 
650       2867 16335 335  -49 
651       2866 16335 335  -49 
652       2866 16335 334  -49 
653       2866 16335 333  -50 
654       2866 16335 333  -50 
655       2862 16334 333  -50 
656       2862 16334 332  -50 
657       2862 16334 331  -50 
658       2862 16334 331  -50 
659       2860 16334 331  -50 
660       2860 16334 331  -50 
661       2860 16334 329  -50 
662       2860 16334 329  -50 
663       2857 16334 328  -50 
664       2857 16334 328  -52 
665       2857 16332 327  -52 
666       2857 16332 327  -52 
667       2851 16332 326  -52 
668       2851 16332 326  -52 
